idea_id,run_index,project_id,block,input_tokens,output_tokens,latency_ms,retries
idea-070,0,8fa5f31a-619a-453d-affb-94f7760eda2c,models_options,1944,845,11084,0
idea-070,0,8fa5f31a-619a-453d-affb-94f7760eda2c,empathy_map,554,730,9891,0
idea-097,0,61198c3a-19c4-44cc-8e5d-4b1e34775a46,pitch,8437,750,10285,0
idea-097,0,61198c3a-19c4-44cc-8e5d-4b1e34775a46,scenario,8032,385,5999,0
idea-097,0,61198c3a-19c4-44cc-8e5d-4b1e34775a46,hypotheses,7765,890,13067,0
idea-097,0,61198c3a-19c4-44cc-8e5d-4b1e34775a46,what_if,6093,1871,23895,0
idea-097,0,61198c3a-19c4-44cc-8e5d-4b1e34775a46,architecture,5847,385,6350,0
idea-097,0,61198c3a-19c4-44cc-8e5d-4b1e34775a46,canvas,2712,2122,22582,0
idea-097,0,61198c3a-19c4-44cc-8e5d-4b1e34775a46,models_options,2005,847,11275,0
idea-097,0,61198c3a-19c4-44cc-8e5d-4b1e34775a46,empathy_map,561,772,11861,0
idea-100,0,32acc514-f5bb-40f9-a8b0-6b7b0cb16527,pitch,8391,696,9503,0
idea-100,0,32acc514-f5bb-40f9-a8b0-6b7b0cb16527,scenario,8040,434,5754,0
idea-100,0,32acc514-f5bb-40f9-a8b0-6b7b0cb16527,hypotheses,7688,710,10016,0
idea-100,0,32acc514-f5bb-40f9-a8b0-6b7b0cb16527,what_if,6063,1730,22091,0
idea-100,0,32acc514-f5bb-40f9-a8b0-6b7b0cb16527,architecture,5835,326,4786,0
idea-100,0,32acc514-f5bb-40f9-a8b0-6b7b0cb16527,canvas,2793,2047,22071,0
idea-100,0,32acc514-f5bb-40f9-a8b0-6b7b0cb16527,models_options,2097,833,12675,0
idea-100,0,32acc514-f5bb-40f9-a8b0-6b7b0cb16527,empathy_map,667,763,10122,0
